# Exercise 17
-------------------------------------------------------------------------
# Return a list of adresses ordered by length of the combined columns addressLine1 and city


mysql>  SELECT
            CONCAT_WS(', ', addressLine1, city) as address,
            LENGTH(CONCAT_WS(', ', addressLine1, city)) AS length
        FROM
            Address
        ORDER BY
            LENGTH(address) DESC;



+---------------------------------------------------------------+--------+
| address                                                       | length |
| Ap #850-8216 Dui. Street, Piotrków Trybunalski                |     46 |
| P.O. Box 163, 955 Fringilla. Street, Rendsburg                |     46 |
| P.O. Box 970, 7546 Neque. Street, Castelseprio                |     46 |
| P.O. Box 790, 9518 Pellentesque Street, Duncan                |     46 |
| P.O. Box 587, 2904 Blandit Street, Broken Hill                |     46 |
| P.O. Box 512, 3379 Varius Ave, Ulloa (Barrial)                |     46 |
| P.O. Box 602, 2298 Nunc Rd., Le Grand-Quevilly                |     46 |
| Ap #428-2301 Sollicitudin Rd., Mata de Plátano                |     46 |
| P.O. Box 802, 6057 Amet Street, St. Catharines                |     46 |
| P.O. Box 281, 1979 Vulputate Avenue, Bad Ischl                |     46 |
| P.O. Box 236, 1800 Odio. Road, ?ereflikoçhisar                |     46 |
| 740-7020 Curabitur St., Hérouville-Saint-Clair                |     46 |
| P.O. Box 628, 1884 Ullamcorper Av., Springdale                |     46 |
| P.O. Box 870, 1398 Pellentesque, Road, Madison                |     46 |
| P.O. Box 201, 4836 Interdum. Road, Nova Iguaçu                |     46 |
| P.O. Box 286, 8472 Libero. Street, Kansas City                |     46 |
| P.O. Box 935, 1761 Phasellus Avenue, Modinagar                |     46 |
| P.O. Box 417, 4525 Pellentesque Road, Asbestos                |     46 |
| P.O. Box 758, 7605 Ullamcorper. St., Bydgoszcz                |     46 |
| P.O. Box 720, 3819 Ornare. St., Oxford County                 |     45 |
| Ap #167-7911 Eu Ave, Saint-Eug?ne-de-Ladri?re                 |     45 |
| P.O. Box 567, 6598 Quisque Rd., Rouyn-Noranda                 |     45 |
| P.O. Box 196, 1576 Scelerisque, St., Richmond                 |     45 |
| Ap #656-8264 Lacus. Rd., Vitória da Conquista                 |     45 |
| P.O. Box 261, 2764 Nascetur Avenue, Gateshead                 |     45 |
| 953-2478 Hendrerit Ave, San Giovanni la Punta                 |     45 |
| P.O. Box 803, 2470 Aliquet Street, Gold Coast                 |     45 |
| P.O. Box 443, 5612 Dignissim. Av., Sacramento                 |     45 |
| P.O. Box 478, 1479 Mauris Avenue, Bremerhaven                 |     45 |
| Ap #401-5049 Integer Street, West Valley City                 |     45 |
| P.O. Box 244, 6418 Fusce Rd., Scanzano Jonico                 |     45 |
| Ap #148-5996 Nulla. Rd., San José de Alajuela                 |     45 |
| P.O. Box 414, 1984 Libero. Avenue, Torrevieja                 |     45 |
| P.O. Box 357, 6130 Tellus. Avenue, Chesapeake                 |     45 |
| P.O. Box 400, 732 Ligula. Street, Bloomington                 |     45 |
| P.O. Box 107, 3110 Tincidunt, Street, Ipswich                 |     45 |
| P.O. Box 875, 595 Amet Avenue, Belo Horizonte                 |     45 |
| P.O. Box 143, 4776 Placerat. Road, Port Moody                 |     45 |
| P.O. Box 392, 7781 Accumsan Avenue, Feldkirch                 |     45 |
| P.O. Box 700, 6980 Aliquam St., Rio nell'Elba                 |     45 |
| Ap #742-6813 Suspendisse St., Rueil-Malmaison                 |     45 |
| P.O. Box 226, 1948 Suspendisse Avenue, Vienna                 |     45 |
| 6674 Montes, Avenue, Santa Coloma de Gramenet                 |     45 |
| Ap #910-5739 Felis Road, Falciano del Massico                 |     45 |
| Ap #870-466 Malesuada Av., Brive-la-Gaillarde                 |     45 |
| P.O. Box 489, 8233 Eros Avenue, Kulti-Barakar                 |     45 |
| P.O. Box 537, 9129 Convallis Street, Nijmegen                 |     45 |
| P.O. Box 288, 2904 Cursus Av., Charlottetown                  |     44 |
| P.O. Box 265, 7157 Suspendisse St., Istanbul                  |     44 |
| P.O. Box 359, 144 Nulla Road, Hénin-Beaumont                  |     44 |
| P.O. Box 163, 8173 Vestibulum, Street, Lagos                  |     44 |
| 228-4741 Ipsum Road, Raurkela Civil Township                  |     44 |
| P.O. Box 758, 4235 Curabitur St., Carmarthen                  |     44 |
| P.O. Box 911, 7790 Dapibus Avenue, Worcester                  |     44 |
| P.O. Box 707, 6613 Fringilla. Road, Sabadell                  |     44 |
| P.O. Box 166, 3679 Vulputate Av., Queanbeyan                  |     44 |
| 626-2101 Nibh. Ave, Santa Coloma de Gramenet                  |     44 |
| P.O. Box 475, 8201 Integer Road, Glastonbury                  |     44 |
| P.O. Box 506, 6034 Quis, Ave, Blue Mountains                  |     44 |
| 845-3631 Arcu Avenue, Illkirch-Graffenstaden                  |     44 |
| P.O. Box 157, 8067 Tincidunt, Av., Whakatane                  |     44 |
| P.O. Box 391, 2052 Interdum. St., Pi?trebais                  |     44 |
| P.O. Box 115, 7529 Aliquet, St., Camponogara                  |     44 |
| P.O. Box 295, 7321 Vehicula Road, Chesapeake                  |     44 |
| P.O. Box 375, 1984 Vitae St., Bia?a Podlaska                  |     44 |
| 3265 Urna. Street, L'Hospitalet de Llobregat                  |     44 |
| P.O. Box 421, 8010 Consequat Avenue, Burnpur                  |     44 |
| P.O. Box 803, 1502 Suspendisse St., Maubeuge                  |     44 |
| P.O. Box 116, 5363 Non, Road, Diano Arentino                  |     44 |
| P.O. Box 225, 8663 Consequat St., Nottingham                  |     44 |
| P.O. Box 277, 1352 Fames Street, Saint-Denis                  |     44 |
| P.O. Box 869, 6600 Urna, Av., Recklinghausen                  |     44 |
| P.O. Box 253, 8223 Malesuada Avenue, Udaipur                  |     44 |
| P.O. Box 819, 4676 Suspendisse Road, Lasnigo                  |     44 |
| Ap #107-4733 Suspendisse St., Torre Cajetani                  |     44 |
| P.O. Box 530, 7242 Malesuada Av., Pittsburgh                  |     44 |
| P.O. Box 984, 9629 Diam Street, Raj Nandgaon                  |     44 |
| P.O. Box 686, 7502 Quis, St., Trois-Rivi?res                  |     44 |
| P.O. Box 801, 9278 Ultrices Avenue, Erlangen                  |     44 |
| P.O. Box 266, 2560 Tempor Avenue, Huntsville                  |     44 |
| P.O. Box 534, 8633 Lacus. Street, Frankfurt                   |     43 |
| P.O. Box 974, 1716 Molestie. Rd., Tiruvarur                   |     43 |
| P.O. Box 296, 6979 Est. Rd., Ribeirão Preto                   |     43 |
| P.O. Box 467, 957 Nunc St., Duque de Caxias                   |     43 |
| P.O. Box 126, 3410 Adipiscing, Road, Vienna                   |     43 |
| P.O. Box 836, 1161 Condimentum. Rd., Galway                   |     43 |
| Ap #271-100 Tincidunt Street, Schifferstadt                   |     43 |
| P.O. Box 187, 5682 Commodo Road, Des Moines                   |     43 |
| P.O. Box 289, 959 Aptent Street, Malkajgiri                   |     43 |
| P.O. Box 785, 2650 Facilisis St., Waitakere                   |     43 |
| P.O. Box 350, 3526 Hendrerit Street, Berlin                   |     43 |
| P.O. Box 162, 5416 Nisi. Av., Overland Park                   |     43 |
| 680-6130 Mauris Avenue, Casnate con Bernate                   |     43 |
| P.O. Box 255, 1912 Vestibulum Rd., Tintange                   |     43 |
| P.O. Box 859, 2457 Consequat St., Milwaukee                   |     43 |
| P.O. Box 324, 6102 Proin Street, Des Moines                   |     43 |
| P.O. Box 416, 7267 Nascetur Avenue, Khanpur                   |     43 |
| Ap #435-9159 Aliquet. Street, Saint-L?onard                   |     43 |
| P.O. Box 621, 5901 Mi. St., Mogi das Cruzes                   |     43 |
| P.O. Box 450, 4916 Mauris. Street, Çald?ran                   |     43 |
| P.O. Box 862, 3963 Malesuada Street, Aiseau                   |     43 |
| P.O. Box 156, 948 Ut Av., Hollogne-sur-Geer                   |     43 |
| P.O. Box 737, 8681 Purus. Avenue, Pagazzano                   |     43 |
| P.O. Box 209, 7167 Scelerisque Rd., Hamburg                   |     43 |
| P.O. Box 332, 8393 Purus Street, Shawinigan                   |     43 |
| Ap #203-4906 Risus. St., Ribeirão das Neves                   |     43 |
| P.O. Box 613, 2512 Phasellus Avenue, Meppel                   |     43 |
| P.O. Box 557, 2079 Sagittis St., Tuscaloosa                   |     43 |
| P.O. Box 725, 9845 Eleifend Avenue, Béthune                   |     43 |
| P.O. Box 339, 9571 Tempor Rd., Jelenia Góra                   |     43 |
| 790-484 Phasellus St., San José de Alajuela                   |     43 |
| P.O. Box 934, 5380 Adipiscing Rd., Hamilton                   |     43 |
| P.O. Box 153, 5877 Integer Street, Matamata                   |     43 |
| 914 Scelerisque St., Santo Stefano del Sole                   |     43 |
| P.O. Box 807, 8130 Aliquam, Avenue, Bacabal                   |     43 |
| P.O. Box 765, 4236 Bibendum Road, Bonvicino                   |     43 |
| Ap #314-9530 Consectetuer St., Destelbergen                   |     43 |
| P.O. Box 863, 7420 Bibendum Ave, Bridgeport                   |     43 |
| P.O. Box 859, 1108 Nascetur Street, Hamburg                   |     43 |
| P.O. Box 234, 8350 Adipiscing Road, Dorgali                   |     43 |
| Ap #733-4514 Adipiscing Avenue, North Shore                   |     43 |
| P.O. Box 338, 4213 Pellentesque Ave, Zamo??                   |     43 |
| P.O. Box 359, 3183 Molestie Road, Pabianice                   |     43 |
| P.O. Box 327, 4198 Duis Ave, Waiheke Island                   |     43 |
| Ap #240-8255 Nulla. Ave, Castel del Giudice                   |     43 |
| P.O. Box 139, 2926 Elementum Av., Waalwijk                    |     42 |
| P.O. Box 340, 7842 Adipiscing Ave, Heredia                    |     42 |
| Ap #574-9735 Nullam Road, Henley-on-Thames                    |     42 |
| P.O. Box 149, 809 Dis Rd., Charters Towers                    |     42 |
| P.O. Box 906, 1273 Cursus Avenue, Stavoren                    |     42 |
| Ap #826-3658 Fringilla Road, Sarreguemines                    |     42 |
| P.O. Box 978, 3860 Adipiscing. St., Lublin                    |     42 |
| P.O. Box 593, 2054 Fermentum Av., Rangiora                    |     42 |
| P.O. Box 666, 6778 Adipiscing Rd., Hamburg                    |     42 |
| 363-6096 Iaculis Avenue, Villers-lez-Heest                    |     42 |
| P.O. Box 728, 924 Lobortis St., Pittsburgh                    |     42 |
| P.O. Box 493, 7983 Molestie St., Sosnowiec                    |     42 |
| P.O. Box 296, 6795 Diam Street, Drumheller                    |     42 |
| P.O. Box 239, 9372 Dapibus Street, Kumluca                    |     42 |
| Ap #400-7341 Amet St., Dollard-des-Ormeaux                    |     42 |
| P.O. Box 286, 5817 Faucibus Av., Oldenburg                    |     42 |
| P.O. Box 276, 6489 Sociosqu Rd., Pitlochry                    |     42 |
| P.O. Box 158, 4098 Tristique St., Whithorn                    |     42 |
| P.O. Box 653, 376 Vehicula. St., Whakatane                    |     42 |
| P.O. Box 676, 4786 Donec Av., Port Lincoln                    |     42 |
| Ap #622-8053 Tincidunt. Avenue, Anderlecht                    |     42 |
| P.O. Box 721, 382 Arcu. Avenue, Guarapuava                    |     42 |
| 577-4725 Euismod Av., São José dos Pinhais                    |     42 |
| 364-1125 Sollicitudin Avenue, Molenbeersel                    |     42 |
| P.O. Box 241, 7192 Quis St., Kulti-Barakar                    |     42 |
| P.O. Box 339, 5697 Suspendisse Rd., Vienna                    |     42 |
| P.O. Box 650, 9570 Egestas Avenue, Gresham                    |     42 |
| P.O. Box 170, 7838 Semper Ave, North Shore                    |     42 |
| Ap #817-8015 Dui. Rd., Newcastle-upon-Tyne                    |     42 |
| 599-9991 Molestie Street, K?dzierzyn-Ko?le                    |     42 |
| P.O. Box 757, 7598 Faucibus. St., Hastings                    |     42 |
| P.O. Box 889, 2173 Ligula St., San Antonio                    |     42 |
| P.O. Box 978, 8101 Consectetuer Rd., Lagos                    |     42 |
| Ap #648-9165 Ligula. Street, Heerhugowaard                    |     42 |
| 2896 Maecenas Street, San José de Alajuela                    |     42 |
| P.O. Box 131, 4785 Accumsan Av., Merksplas                    |     42 |
| 710-487 Bibendum St., San José de Alajuela                    |     42 |
| P.O. Box 427, 2548 Erat Street, Piracicaba                    |     42 |
| 573-7902 Neque Street, Neder-Over-Heembeek                    |     42 |
| P.O. Box 701, 911 Phasellus Street, Berlin                    |     42 |
| P.O. Box 987, 7818 Suspendisse Rd., Götzis                    |     42 |
| P.O. Box 248, 7645 Eleifend. Avenue, Izmir                    |     42 |
| P.O. Box 152, 2794 Eros Road, Dawson Creek                    |     42 |
| P.O. Box 547, 3121 Vivamus Street, Antakya                    |     42 |
| P.O. Box 554, 5404 Sapien. Road, Wijshagen                    |     42 |
| P.O. Box 486, 5348 Interdum Road, Warszawa                    |     42 |
| P.O. Box 752, 4205 Integer St., Logan City                    |     42 |
| P.O. Box 320, 2018 Sem Street, San Vicente                    |     42 |
| P.O. Box 664, 9115 Maecenas Avenue, Sokoto                    |     42 |
| P.O. Box 129, 3666 Condimentum Ave, Newark                    |     42 |
| P.O. Box 317, 7542 Donec Rd., Grand Rapids                    |     42 |
| Ap #806-2642 Sit Rd., São José dos Pinhais                    |     42 |
| P.O. Box 876, 7482 Egestas, Street, Lleida                    |     42 |
| P.O. Box 560, 5361 Enim, Rd., Belford Roxo                    |     42 |
| P.O. Box 957, 7101 Pharetra, Avenue, Weesp                    |     42 |
| P.O. Box 487, 7423 Lobortis, Rd., Oswestry                    |     42 |
| Ap #514-6929 Parturient Street, Ravenstein                    |     42 |
| Ap #740-3224 Venenatis St., Jefferson City                    |     42 |
| P.O. Box 651, 6766 Nullam Av., Orangeville                    |     42 |
| 825-5674 Lacus. St., Campos dos Goytacazes                    |     42 |
| P.O. Box 668, 6196 Gravida. Road, Broxburn                    |     42 |
| P.O. Box 841, 7585 Eleifend Avenue, Biloxi                    |     42 |
| P.O. Box 913, 8958 Aliquam St., Henderson                     |     41 |
| Ap #874-1024 Ridiculus Street, Pittsburgh                     |     41 |
| P.O. Box 233, 6007 Elit. Road, San Rafael                     |     41 |
| P.O. Box 697, 3207 Turpis. Rd., Oldenzaal                     |     41 |
| Ap #553-2142 Ipsum Street, Virginia Beach                     |     41 |
| P.O. Box 836, 5561 Enim Avenue, Worcester                     |     41 |
| Ap #433-5051 Vulputate, Avenue, Karacabey                     |     41 |
| P.O. Box 878, 4437 Ante. Ave, H?rouxville                     |     41 |
| 5923 Ullamcorper, Rd., Cisterna di Latina                     |     41 |
| 4487 Arcu. St., L'Hospitalet de Llobregat                     |     41 |
| Ap #717-3694 Id, Street, East Gwillimbury                     |     41 |
| P.O. Box 271, 6755 Tempor Street, Siedlce                     |     41 |
| P.O. Box 553, 6320 Fermentum Road, Vienna                     |     41 |
| Ap #417-9435 Blandit St., Hugli-Chinsurah                     |     41 |
| P.O. Box 422, 6338 Sollicitudin St., Kano                     |     41 |
| P.O. Box 792, 8691 Tempor, St., Sosnowiec                     |     41 |
| Ap #740-6753 Vestibulum Street, Saskatoon                     |     41 |
| Ap #291-7197 Ligula Rd., Leighton Buzzard                     |     41 |
| 7736 Ultricies Road, San José de Alajuela                     |     41 |
| P.O. Box 257, 2793 Nunc Avenue, San Pablo                     |     41 |
| P.O. Box 101, 7746 Massa Rd., Baden-Baden                     |     41 |
| P.O. Box 404, 8886 Vitae, Avenue, Belfast                     |     41 |
| P.O. Box 244, 4009 Mollis Rd., Beausejour                     |     41 |
| Ap #767-6767 Molestie Street, Dunfermline                     |     41 |
| 609-7266 Egestas Ave, Stratford-upon-Avon                     |     41 |
| P.O. Box 961, 3284 Diam Avenue, Nashville                     |     41 |
| P.O. Box 753, 607 Facilisis Rd., Mannheim                     |     41 |
| P.O. Box 316, 6291 Enim. St., Helensburgh                     |     41 |
| P.O. Box 173, 3640 Erat Street, Tiruvarur                     |     41 |
| 123-2261 Scelerisque Avenue, Desamparados                     |     41 |
| Ap #145-8024 Venenatis St., Châtellerault                     |     41 |
| P.O. Box 748, 1790 Accumsan St., Tamworth                     |     41 |
| P.O. Box 238, 2138 Luctus Ave, Montpelier                     |     41 |
| P.O. Box 288, 1334 Netus Street, Rankweil                     |     41 |
| P.O. Box 215, 8994 Ipsum Road, Fauvillers                     |     41 |
| P.O. Box 586, 7789 Luctus Avenue, Cartago                     |     41 |
| P.O. Box 343, 3612 Sed, Av., Campbelltown                     |     41 |
| P.O. Box 554, 8136 Pede. Avenue, Saint-Lô                     |     41 |
| Ap #532-5838 Phasellus Avenue, Bhimavaram                     |     41 |
| P.O. Box 483, 2097 Eu, St., Foz do Iguaçu                     |     41 |
| 330-3567 Risus. Ave, Vitória da Conquista                     |     41 |
| P.O. Box 498, 9326 Risus. Avenue, Hamburg                     |     41 |
| Ap #515-7921 Libero St., Feira de Santana                     |     41 |
| P.O. Box 521, 4772 Aliquet Ave, ?anl?urfa                     |     41 |
| P.O. Box 591, 5157 Donec Ave, Springfield                     |     41 |
| P.O. Box 461, 8560 Erat. St., Carapicuíba                     |     41 |
| P.O. Box 998, 696 Tempus Rd., Montpellier                     |     41 |
| P.O. Box 541, 9042 Lacus. Avenue, Windsor                     |     41 |
| Ap #460-3517 Sit Av., Graven Grez-Doiceau                     |     41 |
| P.O. Box 714, 1896 Phasellus Ave, Jackson                     |     41 |
| P.O. Box 409, 3035 Semper Avenue, Tarnów                      |     40 |
| P.O. Box 507, 3590 Sed Ave, Bognor Regis                      |     40 |
| P.O. Box 543, 6459 Neque. Road, Sabadell                      |     40 |
| P.O. Box 539, 5478 Ipsum. St., Masterton                      |     40 |
| P.O. Box 664, 2696 In, Rd., Christchurch                      |     40 |
| P.O. Box 913, 6848 Semper Street, Biloxi                      |     40 |
| P.O. Box 896, 4352 Fusce Rd., San Rafael                      |     40 |
| P.O. Box 439, 1901 Facilisis Ave, Fréjus                      |     40 |
| Ap #715-7412 Adipiscing Road, Port Pirie                      |     40 |
| P.O. Box 566, 8572 Massa. Rd., Fishguard                      |     40 |
| 7771 Hymenaeos. Street, Lauro de Freitas                      |     40 |
| P.O. Box 679, 399 Fermentum Road, Dublin                      |     40 |
| P.O. Box 626, 7175 Fusce St., Queanbeyan                      |     40 |
| P.O. Box 618, 7573 Mauris Street, Galway                      |     40 |
| 5069 Lacus. Ave, Saint-Eug?ne-de-Guigues                      |     40 |
| P.O. Box 522, 6243 Justo Rd., Wageningen                      |     40 |
| Ap #742-2051 Phasellus Ave, Valenciennes                      |     40 |
| P.O. Box 414, 1312 Augue, Av., Karacabey                      |     40 |
| P.O. Box 824, 7727 Faucibus St., Dunedin                      |     40 |
| P.O. Box 986, 7266 Mollis Street, Berlin                      |     40 |
| P.O. Box 676, 7233 Magna St., Queenstown                      |     40 |
| Ap #644-3727 Suspendisse Street, Schulen                      |     40 |
| P.O. Box 706, 8112 Eleifend Av., Reading                      |     40 |
| P.O. Box 403, 8930 Eu St., Sellia Marina                      |     40 |
| P.O. Box 904, 8655 Sed Rd., Desamparados                      |     40 |
| Ap #493-5177 Phasellus Av., K?z?lcahamam                      |     40 |
| P.O. Box 341, 9359 Orci Street, Ilkeston                      |     40 |
| P.O. Box 205, 8104 Mollis. Avenue, Tampa                      |     40 |
| Ap #480-7593 Tristique Street, Guarulhos                      |     40 |
| Ap #843-5399 Pellentesque Road, Anápolis                      |     40 |
| P.O. Box 153, 4935 Aliquam Av., Belgrave                      |     40 |
| Ap #674-1857 Purus Road, Ulloa (Barrial)                      |     40 |
| Ap #466-2527 Phasellus Avenue, Ijebu Ode                      |     40 |
| P.O. Box 754, 4083 Eu, Street, Cavallino                      |     40 |
| P.O. Box 755, 5329 Praesent Ave, Atlanta                      |     40 |
| Ap #406-1792 Parturient St., Sint-Gillis                      |     40 |
| P.O. Box 761, 9018 Hendrerit Rd., Berlin                      |     40 |
| P.O. Box 525, 3530 Vitae Street, Hengelo                      |     40 |
| P.O. Box 721, 7331 Massa Rd., Rio Grande                      |     40 |
| P.O. Box 933, 4674 Morbi Street, Sh?diac                      |     40 |
| P.O. Box 486, 2059 Tortor. Rd., Westport                      |     40 |
| P.O. Box 281, 4111 Augue, Road, Istanbul                      |     40 |
| 669-4905 Metus. Street, South Burlington                      |     40 |
| P.O. Box 480, 5999 Class Street, Rotorua                      |     40 |
| 510-3376 Pellentesque, Avenue, Tarragona                      |     40 |
| Ap #275-5214 Consectetuer Ave, San Diego                      |     40 |
| P.O. Box 456, 9319 Arcu. Street, Gambolò                      |     40 |
| P.O. Box 563, 3079 Placerat, St., Çermik                      |     40 |
| P.O. Box 124, 8481 Pharetra Road, Vienna                      |     40 |
| 7787 Praesent Av., Ospedaletto Lodigiano                      |     40 |
| Ap #199-4021 Ullamcorper Avenue, Silifke                      |     40 |
| Ap #770-6186 Ante, St., Levallois-Perret                      |     40 |
| Ap #973-3437 Sapien. Street, Muzaffarpur                      |     40 |
| P.O. Box 825, 1073 Est, St., Denderbelle                      |     40 |
| P.O. Box 509, 9604 Lectus Av., Orhangazi                      |     40 |
| 596-8723 Tellus, Rd., Limbach-Oberfrohna                      |     40 |
| P.O. Box 682, 5529 Ligula St., Wadgassen                      |     40 |
| P.O. Box 179, 1105 Convallis Rd., Dublin                      |     40 |
| P.O. Box 543, 6834 Augue St., Beausejour                      |     40 |
| Ap #696-9732 Sapien. Ave, Northumberland                      |     40 |
| P.O. Box 477, 2460 Quis Avenue, Waalwijk                      |     40 |
| P.O. Box 116, 9445 Turpis. Ave, Alajuela                      |     40 |
| Ap #566-5073 Integer Street, San Sostene                      |     40 |
| P.O. Box 776, 3917 Nunc Rd., Donstiennes                      |     40 |
| P.O. Box 158, 6264 Magna. Rd., Las Vegas                      |     40 |
| Ap #913-5099 Ultricies Avenue, Anchorage                      |     40 |
| P.O. Box 763, 7200 Metus. Avenue, Berlin                      |     40 |
| P.O. Box 943, 834 Tortor Road, Modinagar                      |     40 |
| P.O. Box 748, 1560 Aliquam St., Cardigan                      |     40 |
| P.O. Box 514, 7989 Mattis. Rd., Terrance                      |     40 |
| P.O. Box 504, 2512 Lectus Avenue, Oviedo                      |     40 |
| P.O. Box 255, 8443 Placerat Road, Sydney                      |     40 |
| P.O. Box 306, 3507 Facilisis Ave, Chapra                      |     40 |
| P.O. Box 594, 6021 Phasellus Ave, Ligney                      |     40 |
| Ap #134-6466 Facilisis. Road, Galashiels                      |     40 |
| P.O. Box 804, 2212 Enim. Rd., Guarapuava                      |     40 |
| P.O. Box 571, 5583 Mauris Road, Burdinne                      |     40 |
| P.O. Box 376, 3986 Auctor St., Whakatane                      |     40 |
| P.O. Box 821, 5255 Morbi Rd., Logan City                      |     40 |
| Ap #642-4751 Pulvinar Street, Maracanaú                       |     39 |
| Ap #784-3749 Dignissim Street, Ch?telet                       |     39 |
