# Exercise 10
-------------------------------------------------------------------------
# List all of the person names born between 8PM and 9PM but not in the month of February


mysql>  SELECT
            CONCAT (firstName, " ", lastName) AS name, birthday
        FROM
            Entry
        WHERE
            (HOUR(birthday) BETWEEN '20' AND '21')
                AND
            MONTH(birthday) != '02'
        ORDER BY
            name;

+--------------------+---------------------+
| name               | birthday            |
| Kylynn Baxter      | 1950-08-10 20:23:47 |
| Laith Wall         | 1970-05-22 20:28:40 |
| Lance Holman       | 1998-06-11 20:59:44 |
| Lani Cardenas      | 1977-05-07 20:42:55 |
| Lara Bradshaw      | 1989-10-16 20:16:22 |
| Leah Olsen         | 1972-03-13 20:03:05 |
| Len Good           | 1955-04-20 20:45:01 |
| Lesley Cotton      | 1994-03-20 20:51:46 |
| Lester Trujillo    | 1965-03-31 20:10:54 |
| Lois Roberson      | 2000-03-28 20:50:47 |
| Lunea Baker        | 1992-09-28 20:05:10 |
| Lydia Vega         | 1954-06-25 20:00:24 |
| Lynn Saunders      | 1986-12-23 20:11:06 |
| Macey Landry       | 1998-01-20 20:42:28 |
| Macy Preston       | 1963-06-22 20:30:09 |
| Madison Shepherd   | 1979-03-25 20:39:20 |
| Maggy Hood         | 1991-06-04 20:27:49 |
| Maia Dejesus       | 1953-10-10 20:34:12 |
| Malachi Hamilton   | 1984-04-24 20:48:15 |
| Malik Roach        | 1973-12-17 20:46:07 |
| Mallory Mcdowell   | 1952-03-01 20:38:59 |
| Marah Savage       | 1970-05-10 20:01:40 |
| Marcia Merrill     | 1999-01-18 20:57:30 |
| Marcia Simmons     | 1979-06-04 20:12:52 |
| Mariam Diaz        | 1960-11-05 20:22:53 |
| Marny David        | 1956-01-15 20:55:53 |
| Marsden Richardson | 1973-07-07 20:24:30 |
| Martha Francis     | 1987-09-14 20:23:10 |
| Marvin Rosario     | 1987-01-12 20:48:41 |
| Matthew Rodriguez  | 1982-07-31 20:15:12 |
| Melodie Rhodes     | 1986-10-18 20:48:13 |
| Mercedes Newton    | 1956-07-11 20:38:30 |
| Michelle Morris    | 1952-11-02 20:16:34 |
| Mollie Turner      | 1982-10-20 20:35:42 |
| Morgan Cervantes   | 1969-06-07 20:24:44 |
| Moses Mccoy        | 1947-03-30 20:10:13 |
| Naida Carpenter    | 1970-01-04 20:59:29 |
| Nasim Manning      | 1976-12-10 20:37:52 |
| Nathan Nieves      | 1950-08-31 20:19:15 |
| Nathaniel Humphrey | 1978-09-28 20:08:29 |
| Nelle Crane        | 1951-05-08 20:49:18 |
| Nero Johnson       | 1987-03-27 20:25:11 |
| Nissim Oliver      | 1978-07-04 20:29:08 |
| Noelle Mays        | 1955-11-07 20:34:48 |
| Nola Terry         | 1964-12-25 20:09:24 |
| Nolan Santos       | 1961-01-05 20:06:47 |
| Odysseus Cabrera   | 1956-04-11 20:39:01 |
| Orson Hull         | 1988-10-01 20:52:04 |
| Perry Benson       | 1981-12-05 20:07:55 |
| Peter Welch        | 1957-03-14 20:19:30 |
| Phyllis Gilliam    | 1954-09-04 20:03:20 |
| Quemby Fox         | 1992-09-11 20:12:37 |
| Quinlan English    | 1960-10-01 20:00:26 |
| Quintessa Schmidt  | 1975-11-09 20:59:02 |
| Quynn Marks        | 1980-12-17 20:06:06 |
| Randall Kirk       | 1974-04-19 20:27:52 |
| Raymond Mercer     | 1975-10-07 20:18:07 |
| Reese Wyatt        | 1965-04-09 20:07:42 |
| Reuben Henderson   | 1969-06-15 20:00:50 |
| Rhea Irwin         | 1946-11-19 20:30:23 |
| Rhoda Mcleod       | 1963-10-02 20:36:17 |
| Richard Tucker     | 1953-10-29 20:57:21 |
| Ross Schroeder     | 1946-10-02 20:51:20 |
| Rylee Perez        | 1952-10-21 20:17:54 |
| Salvador Cochran   | 1947-06-18 20:59:15 |
| Samuel Clarke      | 1989-11-22 20:05:51 |
| Sawyer Austin      | 1987-09-15 20:51:46 |
| Scott Whitney      | 1953-07-12 20:36:57 |
| Serena Humphrey    | 1965-06-16 20:07:20 |
| Serina Riddle      | 1963-04-16 20:02:49 |
| Sloane Atkinson    | 1977-10-03 20:21:18 |
| Sloane Buck        | 1963-11-25 20:46:33 |
| Sloane Petty       | 1959-07-21 20:57:28 |
| Sonya Vance        | 1983-05-24 20:33:07 |
| Sophia Dorsey      | 1976-04-04 20:08:09 |
| Stacey Allen       | 1957-07-06 20:16:09 |
| Stacy Munoz        | 1964-07-02 20:11:29 |
| Stella Puckett     | 1954-07-26 20:41:53 |
| Summer Tate        | 1993-03-04 20:41:20 |
| Susan Foreman      | 1993-07-02 20:02:03 |
| Sylvia Santiago    | 1989-12-24 20:09:41 |
| Tad Vaughan        | 1966-08-30 20:32:18 |
| Tamara Buchanan    | 1996-09-21 20:49:09 |
| Tanek Winters      | 1978-10-22 20:22:45 |
| Tanisha Russell    | 1997-11-21 20:25:23 |
| Tanya Griffin      | 1979-10-03 20:42:26 |
| Tatyana Riley      | 1968-11-09 20:11:49 |
| Teegan Vinson      | 1972-09-22 20:45:18 |
| Uriah Everett      | 1966-06-12 20:27:38 |
| Uriah Herring      | 1954-09-25 20:41:09 |
| Uriah Mendez       | 1955-05-03 20:58:08 |
| Valentine Edwards  | 1987-07-29 20:16:39 |
| Valentine Nolan    | 1986-12-08 20:36:49 |
| Vera Hart          | 1959-05-27 20:28:42 |
| Victor Meyers      | 1972-07-02 20:30:23 |
| Victoria Patel     | 1984-12-01 20:47:31 |
| Wayne Gardner      | 1990-07-14 20:13:17 |
| Wayne Wiggins      | 1973-03-23 20:30:59 |
| Willa Henson       | 1962-11-07 20:08:58 |
| William Ayers      | 1957-04-11 20:09:24 |
| Xantha Chang       | 1972-09-16 20:19:37 |
| Yen Pruitt         | 1990-09-27 20:06:12 |
| Zachary Carey      | 1968-07-14 20:34:17 |
| Zachery Melton     | 1979-10-11 20:42:57 |
| Zane Olsen         | 1956-09-14 20:14:51 |
| Zenaida Mccarty    | 1989-01-01 20:38:34 |
| Zeph Bowman        | 1948-06-11 20:43:07 |
| Zia Clark          | 1946-05-27 20:48:25 |
+--------------------+---------------------+
